date,composer,composer_id,composer_gender,nationality,work,soloist,instrument,conductor,orchestra,venue,,,
10/6/2017,Arlene Sierra ,58,f,58, Moler,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,,
10/6/2017,Pyotr Ilyich Tchaikovsky ,4,m,4, Concerto for Violin in D Major, Op. 35,Gil Shaham , Violin,nan,nan,nan,,
10/6/2017,Sergei Rachmaninoff ,9,m,9, Symphony No. 2 in E minor, Op. 27,nan,nan,nan,nan,nan,,
10/7/2017,Arlene Sierra ,58,f,58, Moler,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,,
10/7/2017,Pyotr Ilyich Tchaikovsky ,4,m,4, Concerto for Violin in D Major, Op. 35,Gil Shaham , Violin,nan,nan,nan,,
10/7/2017,Johann Sebastian Bach ,10,m,10, Partita for Violin No. 3 in E major, BWV 1006: (03) Gavotte en Rondeau,Gil Shaham , Violin,nan,nan,nan,,
10/7/2017,Sergei Rachmaninoff ,9,m,9, Symphony No. 2 in E minor, Op. 27,nan,nan,nan,nan,nan,,
11/3/2017,Pyotr Ilyich Tchaikovsky ,4,m,4, Concerto for Violin in D Major, Op. 35,Gil Shaham , Violin,Andris Nelsons,Boston Symphony Orchestra,NTK Hall Forest Hall,,
11/3/2017,Gustav Mahler ,2,m,2, Symphony No. 1 in D,nan,nan,nan,nan,nan,,,
11/3/2017,Ludwig van Beethoven ,5,m,5, Egmont: Incidental Music, Op. 84: (01) Overture,nan,nan,nan,nan,nan,,
11/4/2017,Pyotr Ilyich Tchaikovsky ,4,m,4, Concerto for Violin in D Major, Op. 35,Gil Shaham , Violin,Andris Nelsons,Boston Symphony Orchestra,Osaka Festival Hall,,
11/4/2017,Dmitri Shostakovich ,1,m,1, Symphony No. 11 in G minor, Op. 103, The Year 1905,nan,nan,nan,nan,nan,
11/4/2017,Dmitri Shostakovich ,1,m,1, Moscow, Cheryomushki: Galop,nan,nan,nan,nan,nan,,
11/4/2017,Leonard Bernstein ,7,m,7, Divertimento for Orchestra,nan,nan,nan,nan,nan,,,
11/5/2017,Pyotr Ilyich Tchaikovsky ,4,m,4, Concerto for Violin in D Major, Op. 35,Gil Shaham , Violin,Andris Nelsons,Boston Symphony Orchestra,Muza Kawasaki Symphony Hall,,
11/5/2017,Gustav Mahler ,2,m,2, Symphony No. 1 in D,nan,nan,nan,nan,nan,,,
11/5/2017,Ludwig van Beethoven ,5,m,5, Egmont: Incidental Music, Op. 84: (01) Overture,nan,nan,nan,nan,nan,,
11/7/2017,Pyotr Ilyich Tchaikovsky ,4,m,4, Concerto for Violin in D Major, Op. 35,Gil Shaham , Violin,Andris Nelsons,Boston Symphony Orchestra,Suntory Hall,,
11/7/2017,Dmitri Shostakovich ,1,m,1, Symphony No. 11 in G minor, Op. 103, The Year 1905,nan,nan,nan,nan,nan,
11/7/2017,Dmitri Shostakovich ,1,m,1, Moscow, Cheryomushki: Galop,nan,nan,nan,nan,nan,,
11/7/2017,Leonard Bernstein ,7,m,7, Divertimento for Orchestra,nan,nan,nan,nan,nan,,,
11/8/2017,Wolfgang Amadeus Mozart ,6,m,6, Concerto for Flute and Harp in C major, K. 297c [299],Elizabeth Rowe , Flute Jessica Zhou ,Andris Nelsons,Boston Symphony Orchestra,Suntory Hall,,
11/8/2017,Sergei Rachmaninoff ,9,m,9, Symphony No. 2 in E minor, Op. 27,nan,nan,nan,nan,nan,,
11/8/2017,Sergei Rachmaninoff ,9,m,9, Songs (14), Op. 34: (14) Vocalise, arr. for orchestra,nan,nan,nan,nan,nan,
11/9/2017,Franz Joseph Haydn ,11,m,11, Symphony No. 103 in E-flat," ""Drumroll""",nan,nan,Andris Nelsons,Boston Symphony Orchestra,Suntory Hall,,
11/9/2017,Gustav Mahler ,2,m,2, Symphony No. 1 in D,nan,nan,nan,nan,nan,,,
11/9/2017,Ludwig van Beethoven ,5,m,5, Egmont: Incidental Music, Op. 84: (01) Overture,nan,nan,nan,nan,nan,,
11/16/2017,Ludwig van Beethoven ,5,m,5, Concerto for Piano No. 3 in C minor, Op. 37,Martin Helmchen , Piano,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
11/16/2017,Gustav Mahler ,2,m,2, Symphony No. 1 in D,nan,nan,nan,nan,nan,,,
11/17/2017,Ludwig van Beethoven ,5,m,5, Concerto for Piano No. 3 in C minor, Op. 37,Martin Helmchen , Piano,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
11/17/2017,Gustav Mahler ,2,m,2, Symphony No. 1 in D,nan,nan,nan,nan,nan,,,
11/18/2017,Ludwig van Beethoven ,5,m,5, Concerto for Piano No. 3 in C minor, Op. 37,Martin Helmchen , Piano,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
11/18/2017,Gustav Mahler ,2,m,2, Symphony No. 1 in D,nan,nan,nan,nan,nan,,,
11/21/2017,Ludwig van Beethoven ,5,m,5, Concerto for Piano No. 1 in C major, Op. 15,Rudolf Buchbinder , Piano,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
11/21/2017,Anton Bruckner ,12,m,12, Symphony No. 4 in E-flat major (1880 def. version),nan,nan,nan,nan,nan,,,
11/24/2017,Ludwig van Beethoven ,5,m,5, Concerto for Piano No. 1 in C major, Op. 15,Rudolf Buchbinder , Piano,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
11/24/2017,Anton Bruckner ,12,m,12, Symphony No. 4 in E-flat major (1880 def. version),nan,nan,nan,nan,nan,,,
11/25/2017,Ludwig van Beethoven ,5,m,5, Concerto for Piano No. 1 in C major, Op. 15,Rudolf Buchbinder , Piano,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
11/25/2017,Anton Bruckner ,12,m,12, Symphony No. 4 in E-flat major (1880 def. version),nan,nan,nan,nan,nan,,,
11/30/2017,Derek Bermel ,60,m,60, Elixir,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,,
11/30/2017,Sergei Prokofiev ,15,m,15, Concerto for Violin No. 2 in G minor, Op. 63,Leonidas Kavakos , Violin,nan,nan,nan,,
11/30/2017,Richard Strauss ,3,m,3, Alpensinfonie, Op. 64," ""Alpine Symphony""",nan,nan,nan,nan,nan,
12/1/2017,Derek Bermel ,60,m,60, Elixir,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,,
12/1/2017,Sergei Prokofiev ,15,m,15, Concerto for Violin No. 2 in G minor, Op. 63,Leonidas Kavakos , Violin,nan,nan,nan,,
12/1/2017,Richard Strauss ,3,m,3, Alpensinfonie, Op. 64," ""Alpine Symphony""",nan,nan,nan,nan,nan,
12/2/2017,Derek Bermel ,60,m,60, Elixir,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,,
12/2/2017,Sergei Prokofiev ,15,m,15, Concerto for Violin No. 2 in G minor, Op. 63,Leonidas Kavakos , Violin,nan,nan,nan,,
12/2/2017,Richard Strauss ,3,m,3, Alpensinfonie, Op. 64," ""Alpine Symphony""",nan,nan,nan,nan,nan,
1/18/2018,Gustav Mahler ,2,m,2, Symphony No. 3 in D minor,Tanglewood Festival Chorus , SATB Chorus Susan Graham ,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,,
1/19/2018,Gustav Mahler ,2,m,2, Symphony No. 3 in D minor,Tanglewood Festival Chorus , SATB Chorus Susan Graham ,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,,
1/20/2018,Gustav Mahler ,2,m,2, Symphony No. 3 in D minor,Boston Symphony Children's Choir , Children's Choir Susan Graham ,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,,
2/1/2018,Wolfgang Amadeus Mozart ,6,m,6, Serenade No. 10 in B-flat major, K. 361(370a )," ""Gran Partita""",nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,
2/1/2018,Dmitri Shostakovich ,1,m,1, Symphony No. 14 for soprano, bass, and chamber orchestra, Op. 135,Kristine Opolais , Soprano Alexander Tsymbalyuk ,nan,nan,nan
2/2/2018,Wolfgang Amadeus Mozart ,6,m,6, Serenade No. 10 in B-flat major, K. 361(370a )," ""Gran Partita""",nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,
2/2/2018,Dmitri Shostakovich ,1,m,1, Symphony No. 14 for soprano, bass, and chamber orchestra, Op. 135,Kristine Opolais , Soprano Alexander Tsymbalyuk ,nan,nan,nan
2/3/2018,Wolfgang Amadeus Mozart ,6,m,6, Serenade No. 10 in B-flat major, K. 361(370a )," ""Gran Partita""",nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,
2/3/2018,Dmitri Shostakovich ,1,m,1, Symphony No. 14 for soprano, bass, and chamber orchestra, Op. 135,Kristine Opolais , Soprano Alexander Tsymbalyuk ,nan,nan,nan
2/8/2018,Johann Sebastian Bach ,10,m,10, Concerto for Claviers (3) No. 1 in C major, BWV 1063,Thomas Adès , Piano Kirill Gerstein ,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
2/8/2018,Robert Schumann ,17,m,17, Nachtlied, Op. 108,Tanglewood Festival Chorus , SATB Chorus David Kravitz ,nan,nan,nan,,
2/8/2018,Robert Schumann ,17,m,17, Neujahrslied, Op. 144,Tanglewood Festival Chorus , SATB Chorus David Kravitz ,nan,nan,nan,,
2/8/2018,Sean Shepherd ,56,m,56, Express Abstractionism,nan,nan,nan,nan,nan,,,
2/8/2018,Felix Mendelssohn ,19,m,19, Symphony No. 3 in A minor, Op. 56," ""Scottish""",nan,nan,nan,nan,nan,
2/9/2018,Johann Sebastian Bach ,10,m,10, Concerto for Claviers (3) No. 1 in C major, BWV 1063,Thomas Adès , Piano Kirill Gerstein ,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
2/9/2018,Sean Shepherd ,56,m,56, Express Abstractionism,nan,nan,nan,nan,nan,,,
2/9/2018,Felix Mendelssohn ,19,m,19, Symphony No. 3 in A minor, Op. 56," ""Scottish""",nan,nan,nan,nan,nan,
2/10/2018,Johann Sebastian Bach ,10,m,10, Concerto for Claviers (3) No. 1 in C major, BWV 1063,Thomas Adès , Piano Kirill Gerstein ,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
2/10/2018,Robert Schumann ,17,m,17, Nachtlied, Op. 108,Tanglewood Festival Chorus , SATB Chorus David Kravitz ,nan,nan,nan,,
2/10/2018,Robert Schumann ,17,m,17, Neujahrslied, Op. 144,Tanglewood Festival Chorus , SATB Chorus David Kravitz ,nan,nan,nan,,
2/10/2018,Sean Shepherd ,56,m,56, Express Abstractionism,nan,nan,nan,nan,nan,,,
2/10/2018,Felix Mendelssohn ,19,m,19, Symphony No. 3 in A minor, Op. 56," ""Scottish""",nan,nan,nan,nan,nan,
3/22/2018,Leonard Bernstein ,7,m,7, Symphony No. 2, The Age of Anxiety,Jean-Yves Thibaudet , Piano,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
3/22/2018,Dmitri Shostakovich ,1,m,1, Symphony No. 4 in C minor, Op. 43,nan,nan,nan,nan,nan,,
3/23/2018,Leonard Bernstein ,7,m,7, Symphony No. 2, The Age of Anxiety,Jean-Yves Thibaudet , Piano,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
3/23/2018,Dmitri Shostakovich ,1,m,1, Symphony No. 4 in C minor, Op. 43,nan,nan,nan,nan,nan,,
3/24/2018,Leonard Bernstein ,7,m,7, Symphony No. 2, The Age of Anxiety,Jean-Yves Thibaudet , Piano,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
3/24/2018,Dmitri Shostakovich ,1,m,1, Symphony No. 4 in C minor, Op. 43,nan,nan,nan,nan,nan,,
3/27/2018,Leonard Bernstein ,7,m,7, Symphony No. 2, The Age of Anxiety,Jean-Yves Thibaudet , Piano,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
3/27/2018,Dmitri Shostakovich ,1,m,1, Symphony No. 4 in C minor, Op. 43,nan,nan,nan,nan,nan,,
3/29/2018,Wolfgang Amadeus Mozart ,6,m,6, Symphony No. 23 in D, K. 181[162b],nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
3/29/2018,Jörg Widmann ,26,m,26, Partita,nan,nan,nan,nan,nan,,,
3/29/2018,Richard Strauss ,3,m,3, Don Quixote, Op. 35,Steven Ansell , Viola Yo-Yo Ma ,nan,nan,nan,,
3/30/2018,Wolfgang Amadeus Mozart ,6,m,6, Symphony No. 23 in D, K. 181[162b],nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
3/30/2018,Jörg Widmann ,26,m,26, Partita,nan,nan,nan,nan,nan,,,
3/30/2018,Richard Strauss ,3,m,3, Don Quixote, Op. 35,Yo-Yo Ma , Cello,nan,nan,nan,,
3/31/2018,Wolfgang Amadeus Mozart ,6,m,6, Symphony No. 23 in D, K. 181[162b],nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
3/31/2018,Jörg Widmann ,26,m,26, Partita,nan,nan,nan,nan,nan,,,
3/31/2018,Richard Strauss ,3,m,3, Don Quixote, Op. 35,Yo-Yo Ma , Cello,nan,nan,nan,,
4/3/2018,Wolfgang Amadeus Mozart ,6,m,6, Symphony No. 23 in D, K. 181[162b],nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
4/3/2018,Jörg Widmann ,26,m,26, Partita,nan,nan,nan,nan,nan,,,
4/3/2018,Richard Strauss ,3,m,3, Don Quixote, Op. 35,Yo-Yo Ma , Cello,nan,nan,nan,,
4/5/2018,Richard Wagner ,14,m,14, Siegfried Idyll,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,,
4/5/2018,Richard Wagner ,14,m,14, Tristan und Isolde: Act 2,Mihoko Fujimura , Mezzo Soprano Jonas Kaufmann ,nan,nan,nan,,,
4/6/2018,Dmitri Shostakovich ,1,m,1, Symphony No. 4 in C minor, Op. 43,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
4/7/2018,Richard Wagner ,14,m,14, Siegfried Idyll,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,,
4/7/2018,Richard Wagner ,14,m,14, Tristan und Isolde: Act 2,nan,nan,nan,nan,nan,,,
4/11/2018,Leonard Bernstein ,7,m,7, Symphony No. 2, The Age of Anxiety,Jean-Yves Thibaudet , Piano,Andris Nelsons,Boston Symphony Orchestra,Carnegie Hall,,
4/11/2018,Dmitri Shostakovich ,1,m,1, Symphony No. 4 in C minor, Op. 43,nan,nan,nan,nan,nan,,
4/12/2018,Richard Wagner ,14,m,14, Tristan und Isolde: Act 2,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Carnegie Hall,,,
4/13/2018,Wolfgang Amadeus Mozart ,6,m,6, Symphony No. 23 in D, K. 181[162b],nan,nan,Andris Nelsons,Boston Symphony Orchestra,Carnegie Hall,,
4/13/2018,Jörg Widmann ,26,m,26, Partita,nan,nan,nan,nan,nan,,,
4/13/2018,Richard Strauss ,3,m,3, Don Quixote, Op. 35,Yo-Yo Ma , Cello,nan,nan,nan,,
7/6/2018,Wolfgang Amadeus Mozart ,6,m,6, Zauberflöte, Die [Magic Flute], K. 620: Overture,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Tanglewood - Shed,
7/6/2018,Wolfgang Amadeus Mozart ,6,m,6, Concerto for Piano No. 24 in C minor, K.491,Lang Lang , Piano,nan,nan,nan,,
7/6/2018,Frederic Chopin ,64,m,64, Nocturne No. 20 in C-sharp minor, Op. Post,Lang Lang , Piano,nan,nan,nan,,
7/6/2018,Pyotr Ilyich Tchaikovsky ,4,m,4, Symphony No. 5 in E minor, Op. 64,nan,nan,nan,nan,nan,,
7/8/2018,Johannes Brahms ,8,m,8, Concerto for Piano No. 1 in D minor, Op. 15,Rudolf Buchbinder , Piano,Andris Nelsons,Boston Symphony Orchestra,Tanglewood - Shed,,
7/8/2018,Alfred Grünfeld ,68,m,68, Soir�e de Vienne, Op. 56, concert paraphrase from Strauss' Waltz from Die Fledermaus,Rudolf Buchbinder , Piano,nan,nan,nan,
7/8/2018,Dmitri Shostakovich ,1,m,1, Symphony No. 5 in D minor, Op. 47,nan,nan,nan,nan,nan,,
7/9/2018,Leonard Bernstein ,7,m,7, Opening Prayer,nan,nan,Andris Nelsons,Tanglewood Music Center Orchestra,Tanglewood - Seiji Ozawa Hall,,,
7/9/2018,Bedrich Smetana ,67,m,67, M� Vlast [My Country]: (1) Vysehrad [A Fortress in Bohemia],nan,nan,nan,nan,nan,,,
7/9/2018,Antonin Dvorak ,16,m,16, Carnival Overture, Op. 92,nan,nan,nan,nan,nan,,
7/9/2018,Richard Strauss ,3,m,3, Heldenleben, Ein [A Hero's Life], Op. 40,nan,nan,nan,nan,nan,
7/14/2018,Giacomo Puccini ,22,m,22, Bohème, La,Boston Symphony Children's Choir , Children's Choir Tanglewood Festival Chorus ,Andris Nelsons,Boston Symphony Orchestra,Tanglewood - Shed,,
7/15/2018,Felix Mendelssohn ,19,m,19, Symphony No. 4 in A major, Op. 90," ""Italian""",nan,nan,Andris Nelsons,Boston Symphony Orchestra,Tanglewood - Shed,
7/15/2018,Ludwig van Beethoven ,5,m,5, Concerto for Piano No. 1 in C major, Op. 15,Yuja Wang , Piano,nan,nan,nan,,
7/15/2018,Leonard Bernstein ,7,m,7, Chichester Psalms,nan,nan,nan,nan,nan,,,
8/10/2018,Ludwig van Beethoven ,5,m,5, Symphony No. 5 in C minor, Op. 67: (1) Allegro con brio,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Tanglewood - Shed,,
8/10/2018,Ludwig van Beethoven ,5,m,5, Symphony No. 9 in D minor, Op. 125: [unspecified excerpt],nan,nan,nan,nan,nan,,
8/10/2018,Leonard Bernstein ,7,m,7, Candide: Overture,nan,nan,nan,nan,nan,,,
8/10/2018,Ludwig van Beethoven ,5,m,5, Leonore Overture No. 3, Op. 72b,nan,nan,nan,nan,nan,,
8/10/2018,Leonard Bernstein ,7,m,7, West Side Story: Symphonic Dances: (08) Rumble,nan,nan,nan,nan,nan,,,
8/10/2018,Leonard Bernstein ,7,m,7, West Side Story: Symphonic Dances: (09) Finale,nan,nan,nan,nan,nan,,,
8/10/2018,Leonard Bernstein ,7,m,7, Mass: Three Meditations for Cello and Orchestra,nan,nan,nan,nan,nan,,,
8/10/2018,Ludwig van Beethoven ,5,m,5, Symphony No. 5 in C minor. Op. 67: (3) Scherzo: Allegro,nan,nan,nan,nan,nan,,,
8/13/2018,Franz Schreker ,76,m,76, Chamber Symphony for 23 solo instruments,nan,nan,Andris Nelsons,Tanglewood Music Center Orchestra,Tanglewood - Seiji Ozawa Hall,,,
8/13/2018,Witold Lutoslawski ,87,m,87, Chantefleurs et Chantefables,nan,nan,nan,nan,nan,,,
8/13/2018,Franz Joseph Haydn ,11,m,11, Symphony No. 97 in C major (B. & H. No. 7),nan,nan,nan,nan,nan,,,
8/17/2018,Ludwig van Beethoven ,5,m,5, Concerto for Piano No. 4 in G major, Op. 58,Yefim Bronfman , Piano,Andris Nelsons,Boston Symphony Orchestra,Tanglewood - Shed,,
8/17/2018,Dmitri Shostakovich ,1,m,1, Symphony No. 4 in C minor, Op. 43,nan,nan,nan,nan,nan,,
8/17/2018,Dmitri Shostakovich ,1,m,1, Moscow, Cheryomushki: Galop,nan,nan,nan,nan,nan,,
8/18/2018,Leonard Bernstein ,7,m,7, Fancy Free [complete ballet],nan,nan,Andris Nelsons,Boston Symphony Orchestra,Tanglewood - Shed,,,
8/18/2018,Leonard Bernstein ,7,m,7, Divertimento for Orchestra,nan,nan,nan,nan,nan,,,
8/18/2018,Leonard Bernstein ,7,m,7, Serenade for Violin and String Orchestra after Plato's Symposium,Baiba Skride , Violin,nan,nan,nan,,,
8/19/2018,Aaron Copland ,29,m,29, Outdoor Overture,nan,nan,Andris Nelsons,Tanglewood Music Center Orchestra,Tanglewood - Shed,,,
8/19/2018,John Williams ,25,m,25, Highwood's Ghost, for cello, harp, and orchestra,Yo-Yo Ma , Cello Jessica Zhou ,nan,nan,nan
8/19/2018,Leonard Bernstein ,7,m,7, Mass: Three Meditations for Cello and Orchestra,Yo-Yo Ma , Cello,nan,nan,nan,,,
8/19/2018,Bela Bartok ,27,m,27, Concerto for Orchestra,nan,nan,nan,nan,nan,,,
8/24/2018,Gustav Mahler ,2,m,2, Symphony No. 3 in D minor,James Burton , Conductor Boston Symphony Children's Choir ,Andris Nelsons,Boston Symphony Orchestra,Tanglewood - Shed,,,
8/25/2018,Leonard Bernstein ,7,m,7, Candide: Overture,Andris Nelsons , Conductor,Andris Nelsons,Boston Symphony Orchestra,Tanglewood - Shed,,,
8/25/2018,Leonard Bernstein ,7,m,7, Serenade for Violin and String Orchestra after Plato's Symposium,Christoph Eschenbach , Conductor Midori ,nan,nan,nan,,,
8/25/2018,Leonard Bernstein ,7,m,7, Kaddish (Symphony No. 3): IIa. Kaddish II: Andante con tenerezza,Tanglewood Festival Chorus , SATB Chorus Keith Lockhart ,nan,nan,nan,,,
8/25/2018,Leonard Bernstein ,7,m,7, Mass: Three Meditations for Cello and Orchestra,Christoph Eschenbach , Conductor Kian Soltani ,nan,nan,nan,,,
8/25/2018,Leonard Bernstein ,7,m,7, West Side Story: Prologue [Symphonic Dances],nan,nan,nan,nan,nan,,,
8/25/2018,Leonard Bernstein ,7,m,7, West Side Story: Jet Song [orig. orch.],Joshua Bergasse , Choreographer Tanglewood Festival Chorus ,nan,nan,nan,,,
8/25/2018,Leonard Bernstein ,7,m,7, West Side Story: Maria [Suite #1],Joshua Bergasse , Choreographer Tanglewood Festival Chorus ,nan,nan,nan,,,
8/25/2018,Leonard Bernstein ,7,m,7, West Side Story: A Boy Like That [orig. orch.],Joshua Bergasse , Choreographer Tanglewood Festival Chorus ,nan,nan,nan,,,
8/25/2018,Leonard Bernstein ,7,m,7, West Side Story: Tonight Quintet [Orig Orch],Joshua Bergasse , Choreographer Tanglewood Festival Chorus ,nan,nan,nan,,,
8/25/2018,Gustav Mahler ,2,m,2, Knaben Wunderhorn: Der Schildwache Nachtlied [Sentry's Night Song],Thomas Hampson , Baritone Andris Nelsons ,nan,nan,nan,,,
8/25/2018,Aaron Copland ,29,m,29, Appalachian Spring: Excerpts,Michael Tilson Thomas , Conductor,nan,nan,nan,,,
8/25/2018,John Williams ,25,m,25, Highwood's Ghost, for cello, harp, and orchestra,Yo-Yo Ma , Cello John Williams ,nan,nan,nan
8/25/2018,Gustav Mahler ,2,m,2, Symphony No. 2 in C minor," ""Resurrection"": (5) Scherzo: Reh 27 to End",Tanglewood Festival Chorus , SATB Chorus Susan Graham ,nan,nan,nan,,
8/25/2018,Leonard Bernstein ,7,m,7, West Side Story: Somewhere [Symph Dances],Audra McDonald , Vocalist Andris Nelsons ,nan,nan,nan,,,
9/2/2018,Gustav Mahler ,2,m,2, Symphony No. 3 in D minor,Gewandhaus Chorus , Chorus Susan Graham ,Andris Nelsons,Boston Symphony Orchestra,Royal Albert Hall,,,
9/3/2018,Leonard Bernstein ,7,m,7, Serenade for Violin and String Orchestra after Plato's Symposium,Baiba Skride , Violin,Andris Nelsons,Boston Symphony Orchestra,Royal Albert Hall,,,
9/3/2018,Dmitri Shostakovich ,1,m,1, Symphony No. 4 in C minor, Op. 43,nan,nan,nan,nan,nan,,
9/5/2018,Leonard Bernstein ,7,m,7, Serenade for Violin and String Orchestra after Plato's Symposium,Baiba Skride , Violin,Andris Nelsons,Boston Symphony Orchestra,Elbphilharmonie Hamburg,,,
9/5/2018,Dmitri Shostakovich ,1,m,1, Symphony No. 4 in C minor, Op. 43,nan,nan,nan,nan,nan,,
9/6/2018,Gustav Mahler ,2,m,2, Symphony No. 3 in D minor,Gewandhaus Chorus , Chorus Susan Graham ,Andris Nelsons,Boston Symphony Orchestra,Philharmonie,,,
9/8/2018,Gustav Mahler ,2,m,2, Symphony No. 3 in D minor,Gewandhaus Chorus , Chorus Susan Graham ,Andris Nelsons,Boston Symphony Orchestra,Gewandhaus,,,
9/10/2018,Gustav Mahler ,2,m,2, Symphony No. 3 in D minor,Gewandhaus Chorus , Chorus Susan Graham ,Andris Nelsons,Boston Symphony Orchestra,Musikverein,,,
9/11/2018,Leonard Bernstein ,7,m,7, Serenade for Violin and String Orchestra after Plato's Symposium,Baiba Skride , Violin,Andris Nelsons,Boston Symphony Orchestra,Musikverein,,,
9/11/2018,Dmitri Shostakovich ,1,m,1, Symphony No. 4 in C minor, Op. 43,nan,nan,nan,nan,nan,,
9/12/2018,Leonard Bernstein ,7,m,7, Serenade for Violin and String Orchestra after Plato's Symposium,Baiba Skride , Violin,Andris Nelsons,Boston Symphony Orchestra,Kultur und Kongresszentrum Luzern,,,
9/12/2018,Dmitri Shostakovich ,1,m,1, Symphony No. 4 in C minor, Op. 43,nan,nan,nan,nan,nan,,
9/13/2018,Gustav Mahler ,2,m,2, Symphony No. 3 in D minor,Gewandhaus Chorus , Chorus Susan Graham ,Andris Nelsons,Boston Symphony Orchestra,Kultur und Kongresszentrum Luzern,,,
9/15/2018,Gustav Mahler ,2,m,2, Symphony No. 3 in D minor,Radio France Chorus , Chorus Gewandhaus Chorus ,Andris Nelsons,Boston Symphony Orchestra,Philharmonie de Paris,,,
9/16/2018,Leonard Bernstein ,7,m,7, Serenade for Violin and String Orchestra after Plato's Symposium,Baiba Skride , Violin,Andris Nelsons,Boston Symphony Orchestra,Philharmonie de Paris,,,
9/16/2018,Dmitri Shostakovich ,1,m,1, Symphony No. 4 in C minor, Op. 43,nan,nan,nan,nan,nan,,
9/17/2018,Leonard Bernstein ,7,m,7, Serenade for Violin and String Orchestra after Plato's Symposium,Baiba Skride , Violin,Andris Nelsons,Boston Symphony Orchestra,Concertgebouw,,,
9/17/2018,Dmitri Shostakovich ,1,m,1, Symphony No. 4 in C minor, Op. 43,nan,nan,nan,nan,nan,,
10/25/2018,Maija Einfelde ,41,f,41, Lux aeterna,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,,
10/25/2018,Gustav Mahler ,2,m,2, Symphony No. 2," ""Resurrection""",Tanglewood Festival Chorus , SATB Chorus Ying Fang ,nan,nan,nan,,
10/26/2018,Maija Einfelde ,41,f,41, Lux aeterna,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,,
10/26/2018,Gustav Mahler ,2,m,2, Symphony No. 2," ""Resurrection""",Tanglewood Festival Chorus , SATB Chorus Bernarda Fink ,nan,nan,nan,,
10/27/2018,Maija Einfelde ,41,f,41, Lux aeterna,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,,
10/27/2018,Gustav Mahler ,2,m,2, Symphony No. 2," ""Resurrection""",Tanglewood Festival Chorus , SATB Chorus Bernarda Fink ,nan,nan,nan,,
10/30/2018,Maija Einfelde ,41,f,41, Lux aeterna,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,,
10/30/2018,Gustav Mahler ,2,m,2, Symphony No. 2," ""Resurrection""",Tanglewood Festival Chorus , SATB Chorus Bernarda Fink ,nan,nan,nan,,
11/1/2018,Franz Joseph Haydn ,11,m,11, Symphony No. 93 in D major,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,,
11/1/2018,Mark-Anthony Turnage ,33,m,33, Remembering,nan,nan,nan,nan,nan,,,
11/1/2018,Edward Elgar ,28,m,28, Enigma Variations (Variations on an Original Theme), Op. 36,nan,nan,nan,nan,nan,,
11/2/2018,Franz Joseph Haydn ,11,m,11, Symphony No. 93 in D major,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,,
11/2/2018,Edward Elgar ,28,m,28, Enigma Variations (Variations on an Original Theme), Op. 36,nan,nan,nan,nan,nan,,
