date,composer,composer_id,composer_gender,nationality,work,soloist,instrument,conductor,orchestra,venue,,,
11/21/2014,Sergei Rachmaninoff ,9,m,9, Bells, Op. 35,Pavel Cernoch , Tenor Tanglewood Festival Chorus ,nan,nan,nan,,
11/22/2014,John Harbison ,53,m,53, Koussevitzky Said: (for chorus and orchestra),Tanglewood Festival Chorus , SATB Chorus,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,,
11/22/2014,Eriks Ešenvalds ,45,m,45, Lakes Awake at Dawn, for chorus and orchestra,Tanglewood Festival Chorus , SATB Chorus,nan,nan,nan,,
11/22/2014,Sergei Prokofiev ,15,m,15, Sinfonia Concertante for Cello and Orchestra, Op. 125 (Symphony-Concerto),Yo-Yo Ma , Cello,nan,nan,nan,,
11/22/2014,Sergei Rachmaninoff ,9,m,9, Bells, Op. 35,Pavel Cernoch , Tenor Tanglewood Festival Chorus ,nan,nan,nan,,
1/8/2015,Johannes Brahms ,8,m,8, Variations on a Theme by Haydn, Op. 56a,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
1/8/2015,Franz Joseph Haydn ,11,m,11, Symphony No. 90 in C major,nan,nan,nan,nan,nan,,,
1/8/2015,Richard Strauss ,3,m,3, Don Quixote, Op. 35,Steven Ansell , Viola Gautier Capuçon ,nan,nan,nan,,
1/9/2015,Johannes Brahms ,8,m,8, Variations on a Theme by Haydn, Op. 56a,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
1/9/2015,Franz Joseph Haydn ,11,m,11, Symphony No. 90 in C major,nan,nan,nan,nan,nan,,,
1/9/2015,Richard Strauss ,3,m,3, Don Quixote, Op. 35,Steven Ansell , Viola Gautier Capuçon ,nan,nan,nan,,
1/10/2015,Johannes Brahms ,8,m,8, Variations on a Theme by Haydn, Op. 56a,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
1/10/2015,Franz Joseph Haydn ,11,m,11, Symphony No. 90 in C major,nan,nan,nan,nan,nan,,,
1/10/2015,Richard Strauss ,3,m,3, Don Quixote, Op. 35,Steven Ansell , Viola Gautier Capuçon ,nan,nan,nan,,
1/15/2015,Wolfgang Amadeus Mozart ,6,m,6, Concerto for Piano No. 24 in C minor, K.491,Lars Vogt , Piano,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
1/15/2015,Anton Bruckner ,12,m,12, Symphony No. 7 in E major (1883, Haas rev, 1944),nan,nan,nan,nan,nan,
1/16/2015,Wolfgang Amadeus Mozart ,6,m,6, Concerto for Piano No. 24 in C minor, K.491,Lars Vogt , Piano,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
1/16/2015,Anton Bruckner ,12,m,12, Symphony No. 7 in E major (1883, Haas rev, 1944),nan,nan,nan,nan,nan,
1/17/2015,Wolfgang Amadeus Mozart ,6,m,6, Concerto for Piano No. 24 in C minor, K.491,Lars Vogt , Piano,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
1/17/2015,Anton Bruckner ,12,m,12, Symphony No. 7 in E major (1883, Haas rev, 1944),nan,nan,nan,nan,nan,
3/26/2015,Michael Gandolfi ,47,m,47, Ascending Light for organ and orchestra,Olivier Latry , Organ,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,,
3/26/2015,Gustav Mahler ,2,m,2, Symphony No. 6 in A minor,nan,nan,nan,nan,nan,,,
3/27/2015,Michael Gandolfi ,47,m,47, Ascending Light for organ and orchestra,Olivier Latry , Organ,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,,
3/27/2015,Gustav Mahler ,2,m,2, Symphony No. 6 in A minor,nan,nan,nan,nan,nan,,,
3/28/2015,Michael Gandolfi ,47,m,47, Ascending Light for organ and orchestra,Olivier Latry , Organ,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,,
3/28/2015,Gustav Mahler ,2,m,2, Symphony No. 6 in A minor,nan,nan,nan,nan,nan,,,
3/31/2015,Michael Gandolfi ,47,m,47, Ascending Light for organ and orchestra,Olivier Latry , Organ,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,,
3/31/2015,Gustav Mahler ,2,m,2, Symphony No. 6 in A minor,nan,nan,nan,nan,nan,,,
4/2/2015,Dmitri Shostakovich ,1,m,1, Lady Macbeth of Mtsensk: Five Interludes, op. 29,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
4/2/2015,Ludwig van Beethoven ,5,m,5, Concerto for Violin in D major, Op. 61,Christian Tetzlaff , Violin,nan,nan,nan,,
4/2/2015,Dmitri Shostakovich ,1,m,1, Symphony No. 10 in E minor, Op. 93,nan,nan,nan,nan,nan,,
4/3/2015,Dmitri Shostakovich ,1,m,1, Lady Macbeth of Mtsensk: Five Interludes, op. 29,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
4/3/2015,Ludwig van Beethoven ,5,m,5, Concerto for Violin in D major, Op. 61,Christian Tetzlaff , Violin,nan,nan,nan,,
4/3/2015,Dmitri Shostakovich ,1,m,1, Symphony No. 10 in E minor, Op. 93,nan,nan,nan,nan,nan,,
4/4/2015,Dmitri Shostakovich ,1,m,1, Lady Macbeth of Mtsensk: Five Interludes, op. 29,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
4/4/2015,Ludwig van Beethoven ,5,m,5, Concerto for Violin in D major, Op. 61,Christian Tetzlaff , Violin,nan,nan,nan,,
4/4/2015,Dmitri Shostakovich ,1,m,1, Symphony No. 10 in E minor, Op. 93,nan,nan,nan,nan,nan,,
4/9/2015,Gunther Schuller ,18,m,18, Dreamscape,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,,
